,DISPLAY_FIRST_LAST,SCHOOL,COUNTRY,PTS,AST,REB,ALL_STAR_APPEARANCES,DRAFT_YEAR
0,Alaa Abdelnaby,Duke,USA,5.7,0.3,3.3,0.0,1990
1,Zaid Abdul-Aziz,Iowa State,USA,9.0,1.2,8.0,0.0,1968
2,Kareem Abdul-Jabbar,UCLA,USA,24.6,3.6,11.2,18.0,1969
3,Mahmoud Abdul-Rauf,Louisiana State,USA,14.6,3.5,1.9,0.0,1990
4,Tariq Abdul-Wahad,San Jose State,France,7.8,1.1,3.3,0.0,1997
5,Shareef Abdur-Rahim,California,USA,18.1,2.5,7.5,1.0,1996
6,Tom Abernethy,Indiana,USA,5.6,1.2,3.2,0.0,1976
7,Forest Able,Western Kentucky,USA,0.0,1.0,1.0,0.0,1956
8,John Abramovic,Salem,USA,9.5,0.7,,0.0,Undrafted
9,Alex Abrines,FC Barcelona,Spain,5.3,0.5,1.4,0.0,2013
10,Alex Acker,Pepperdine,USA,2.7,0.5,1.0,0.0,2005
11,Donald Ackerman,Long Island-Brooklyn,USA,1.5,0.8,0.5,0.0,1953
12,Mark Acres,Oral Roberts,USA,3.6,0.5,4.1,0.0,1985
13,Charles Acton,Hillsdale,USA,3.3,0.5,2.0,0.0,Undrafted
14,Quincy Acy,Baylor,USA,4.9,0.6,3.5,0.0,2012
15,Alvan Adams,Oklahoma,USA,14.1,4.1,7.0,1.0,1975
16,Don Adams,Northwestern,USA,8.7,1.8,5.6,0.0,1970
17,Hassan Adams,Arizona,USA,2.5,0.2,1.2,0.0,2006
18,Jaylen Adams,St. Bonaventure,USA,0.3,0.3,0.4,,Undrafted
19,Jordan Adams,UCLA,USA,3.2,0.6,0.9,0.0,2014
20,Michael Adams,Boston College,USA,14.7,6.4,2.9,1.0,1985
21,Steven Adams,Pittsburgh,New Zealand,8.1,2.0,9.2,,2013
22,Rafael Addison,Syracuse,USA,5.8,0.9,2.1,0.0,1986
23,Bam Adebayo,Kentucky,USA,19.2,5.4,9.5,,2017
24,Deng Adel,Louisville,South Sudan,1.7,0.3,1.0,0.0,Undrafted
25,Rick Adelman,Loyola-Marymount,USA,7.7,3.5,2.4,0.0,1968
26,Jeff Adrien,Connecticut,USA,4.6,0.7,4.3,0.0,Undrafted
27,Arron Afflalo,UCLA,USA,10.8,1.8,2.9,0.0,2007
28,Maurice Ager,Michigan State,USA,2.1,0.2,0.6,0.0,2006
29,Mark Aguirre,DePaul,USA,20.0,3.1,5.0,3.0,1981
30,Blake Ahearn,Missouri State,USA,4.6,1.2,1.2,0.0,Undrafted
31,Danny Ainge,Brigham Young,USA,11.5,4.0,2.7,1.0,1981
32,Alexis Ajinca,Hyeres-Toulon,France,5.3,0.5,3.9,0.0,2008
33,Henry Akin,Morehead State,USA,3.5,0.5,2.1,0.0,1966
34,Josh Akognon,California State-Fullerton,USA,1.7,0.3,0.3,0.0,Undrafted
35,DeVaughn Akoon-Purcell,Illinois State,Trinidad and Tobago,1.0,0.9,0.6,0.0,Undrafted
36,Solomon Alabi,Florida State,Nigeria,1.5,0.2,2.3,0.0,2010
37,Mark Alarie,Duke,USA,7.5,1.1,3.4,0.0,1986
38,Gary Alcorn,Fresno State,USA,3.3,0.3,4.2,0.0,1959
39,Furkan Aldemir,Galatasaray,Turkey,2.3,0.7,4.3,0.0,2012
40,Cole Aldrich,Kansas,USA,3.1,0.5,3.3,0.0,2010
41,LaMarcus Aldridge,Texas,USA,13.7,1.7,4.5,,2006
42,Chuck Aleksinas,Connecticut,USA,5.1,0.5,3.6,0.0,1982
43,Cliff Alexander,Kansas,USA,1.3,0.0,0.8,0.0,Undrafted
44,Cory Alexander,Virginia,USA,5.5,2.7,1.6,0.0,1995
45,Courtney Alexander,Fresno State,USA,9.0,1.2,2.2,0.0,2000
46,Gary Alexander,South Florida,USA,1.7,0.2,1.4,0.0,Undrafted
47,Joe Alexander,West Virginia,USA,4.2,0.7,1.8,0.0,2008
48,Kyle Alexander,Tennessee,Canada,1.0,0.0,1.5,0.0,Undrafted
49,Victor Alexander,Iowa State,USA,8.9,0.9,4.8,0.0,1991
50,Nickeil Alexander-Walker,Virginia Tech,Canada,9.2,1.9,2.8,,2019
51,Steve Alford,Indiana,USA,4.4,1.0,0.9,0.0,1987
52,Rawle Alkins,Arizona,USA,3.7,1.3,2.6,0.0,Undrafted
53,Bob Allen,Marshall,USA,1.8,0.4,2.1,0.0,1968
